# case_id	n_tokens	comma_separated_token_ids
t00	12	50256,1544,44756,510,290,866,262,6203,329,281,1711,13
t01	10	50256,3347,27846,994,290,612,1871,262,40382,13
t02	10	50256,464,20450,277,677,28970,783,290,788,13
t03	8	50256,2990,5717,1613,530,416,530,13
t04	9	50256,1544,3114,826,290,1364,878,12538,13
t05	8	50256,464,8966,28077,625,290,625,13
t06	10	50256,1544,16499,262,2156,422,1353,284,4220,13
t07	32	50256,464,4074,550,587,8287,276,11,262,15907,10667,5403,11,290,262,5462,16030,319,6203,890,878,17577,11,290,991,262,10654,6807,510,290,866,13
t08	6	50256,9930,531,10000,416,10000
t09	12	50256,1544,44756,510,290,1973,262,6203,329,281,1711,13
t10	6	50256,9930,531,30623,706,30623
t11	6	50256,9930,531,26839,706,26839
t12	4	50256,17980,290,15554
t13	6	50256,9930,531,1110,706,1755
c00	17	50256,464,5583,1138,319,3635,290,4987,284,47328,262,3015,1566,262,1708,6246,13
c01	18	50256,10871,11876,318,19171,1752,379,923,12,929,290,46823,1973,790,8840,2651,1208,13
c02	21	50256,3347,1364,262,2156,878,17577,11,6807,284,262,7850,11,290,13488,329,262,26450,284,9240,13
c03	23	50256,2704,454,11,7543,11,734,9653,11,257,25394,286,8268,11,9215,11,290,2063,257,6508,286,5814,7545
c04	26	50256,464,3555,8278,422,513,13,1415,284,2681,13,20,625,352,11,40839,4201,11,788,3214,736,284,657,13,8298,13
s00	2	50256,262
s01	10	50256,986,11420,837,9832,2162,7665,220,10185,34913
s02	17	50256,1169,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
s03	122	50256,818,262,3726,262,2746,9743,530,11241,379,257,640,11,290,1123,7679,6673,663,898,1402,10156,284,262,29598,4269,13,383,3241,6665,1445,1321,1022,6116,11,981,262,5021,12,29289,34953,1313,31408,1321,1626,257,2292,13,3827,867,11685,777,734,4560,36664,656,9172,326,318,2408,284,4331,422,2035,530,3436,13,770,7322,7160,691,284,4439,257,890,1576,4324,326,597,44657,29052,43366,1022,734,25504,468,2119,284,1716,7424,878,262,8379,5645,11,523,340,4477,1613,262,966,810,340,468,1997,649,284,910,11,14593,290,379,617,4129,11,1566,262,11241,954,318,24341,1588,13
s04	9	50256,220,220,3756,9029,878,262,717,1573
s05	23	50256,2616,38776,40304,40560,16345,2634,851,10545,245,98,17312,105,45739,252,851,7377,102,35705,230,16175,24861,248
s06	10	50256,11085,1627,198,12227,1627,198,198,49393,1627
s07	1	50256
b00	13	50256,8086,1463,318,262,4905,326,6100,1321,1022,11241,6116,13
b01	12	8086,1463,318,262,4905,326,6100,1321,1022,11241,6116,13
b02	2	50256,7850
b03	1	7850
